id,title,rating,duration
movie_1,Operation Fortune: Ruse de Guerre,"6.3
 (78K)",1h 54m
movie_2,Suzzanna: Kliwon Friday Night,"5.8
 (313)",2h 12m
movie_3,Siksa Neraka,"5.6
 (103)",1h 38m
movie_4,Jatuh Cinta Seperti di Film-Film,"8.8
 (373)",1h 58m
movie_5,172 Days,"6.8
 (214)",1h 43m
movie_6,Sewu Dino,"6.0
 (2.2K)",2h 1m
movie_7,Sijjin,"7.6
 (105)",1h 40m
movie_8,Tiger Stripes,"6.2
 (305)",1h 35m
movie_9,Sweet Dreams,"6.6
 (613)",1h 42m
movie_10,Air Mata Di Ujung Sajadah,"7.4
 (1.5K)",1h 45m
movie_11,Pamali: Dusun Pocong,"7.0
 (454)",1h 37m
movie_12,Galaksi,"7.2
 (141)",1h 58m
movie_13,"Ice Cold: Murder, Coffee and Jessica Wongso","6.0
 (1.4K)",1h 26m
movie_14,Gampang Cuan,"8.4
 (87)",1h 58m
movie_15,Panggonan Wingit,"6.3
 (44)",1h 50m
movie_16,Saranjana: Kota Ghaib,"4.5
 (219)",1h 38m
movie_17,13 Bom di Jakarta,"8.8
 (16)",2h 23m
movie_18,Waktu Maghrib,"6.0
 (791)",1h 44m
movie_19,Ketika Berhenti di Sini,"5.9
 (228)",1h 42m
movie_20,Khanzab,"4.6
 (356)",1h 45m
movie_21,Andragogy,"8.3
 (387)",1h 50m
movie_22,Susuk: Kutukan Kecantikan,"6.6
 (139)",1h 42m
movie_23,Srimulat: Hidup Memang Komedi,"7.6
 (24)",1h 45m
movie_24,Malam Para Jahanam,"6.9
 (16)",1h 29m
movie_25,Kisah Tanah Jawa: Pocong Gundul,"7.0
 (159)",1h 47m
movie_26,24 Hours with Gaspar,"7.0
 (11)",1h 38m
movie_27,Tanpa Ampun,"5.1
 (122)",1h 30m
movie_28,Sleeping Beauties,"3.5
 (133)",1h 30m
movie_29,200 Pounds Beauty,"7.7
 (92)",1h 35m
movie_30,"Tuhan, Izinkan Aku Berdosa","8.6
 (8)",1h 57m
movie_31,Dear Jo,"8.8
 (34)",1h 44m
movie_32,Perjanjian Gaib,"5.8
 (104)",1h 42m
movie_33,Kejar Mimpi Gaspol!,"8.7
 (83)",1h 53m
movie_34,Mappacci - Malam Pacar,"7.7
 (111)",1h 49m
movie_35,Motel Melati,"5.6
 (173)",1h 32m
movie_36,Sosok Ketiga,"7.8
 (49)",1h 39m
movie_37,Para Betina Pengikut Iblis,"4.2
 (184)",1h 30m
movie_38,Kapan Hamil?,"5.8
 (10)",1h 31m
movie_39,Jin & Jun,"5.4
 (721)",1h 55m
movie_40,Puspa Indah Taman Hati,"7.8
 (19)",1h 41m
movie_41,Tasbih Kosong,"7.5
 (38)",1h 45m
movie_42,Rumah Masa Depan,"8.8
 (10)",1h 49m
movie_43,Hidayah,"5.6
 (174)",1h 32m
movie_44,The Verge of Death,"6.6
 (183)",1h 37m
movie_45,Today We'll Talk About That Day,"5.4
 (150)",1h 57m
movie_46,Perjamuan Iblis,"5.8
 (16)",1h 55m
movie_47,Fireworks,"7.0
 (321)",1h 44m
movie_48,Catatan Si Boy,"8.3
 (81)",2h 6m
movie_49,Virgo and the Sparklings,"5.7
 (242)",1h 47m
movie_50,Mangkujiwo 2,"6.9
 (96)",2h
movie_51,Mohon Doa Restu,"9.4
 (53)",1h 46m
movie_52,Spirit Doll,"3.9
 (127)",1h 26m
movie_53,Bayi Ajaib,"5.1
 (299)",1h 39m
movie_54,Dreaming & Dying,"5.5
 (44)",1h 17m
movie_55,Mantra Surugana,"3.0
 (207)",1h 38m
movie_56,Hello Ghost,"6.4
 (269)",1h 54m
movie_57,Indigo,"6.5
 (142)",1h 58m
movie_58,Sleep Call,"7.5
 (197)",1h 40m
movie_59,Anwar: The Untold Story,"4.8
 (472)",1h 48m
movie_60,A Long Way to Come Home,"6.6
 (363)",1h 49m
movie_61,Scandal Makers,"7.7
 (87)",1h 26m
movie_62,Last Shadow at First Light,"8.2
 (30)",1h 47m
movie_63,Sherina's Adventure 2,"7.3
 (349)",2h 6m
movie_64,Bangku Kosong: Ujian Terakhir,"7.3
 (53)",1h 26m
movie_65,Primbon,"9.2
 (98)",1h 28m
movie_66,Setan Alas!,"8.1
 (8)",1h 24m
movie_67,Kutukan Sembilan Setan,"7.6
 (26)",1h 37m
